dateid01	dda_bkcom_000_es	dda_bkcom_000_nl	g_v_yoy_bkcom_000_es	g_v_yoy_bkcom_000_nl	iir_bkcom_000_es	iir_bkcom_000_nl	ltn_10y_bkcom_000_es	ltn_10y_bkcom_000_nl	mal_p_bkcom_000_es	mal_p_bkcom_000_nl	soldep_p_bkcom_000_es	soldep_p_bkcom_000_nl	stn_3m_bkcom_000_es	stn_3m_bkcom_000_nl
2025-01-01	0.9400000	0.9000000	4.41690633	3.7394442191536424	2.528396	1.603952	3.411831	2.78258800	106.565635681152	46.766739	-0.306275483	-1.4101399001198536	2.816375	2.816375
2026-01-01	0.0000000	0.0000000	3.674522675	4.1840370058652488	2.643700286	1.7774600493041112	3.5264958749999996	2.79106325	106.47437286377	46.789120	-0.577978001	-1.1539927515148166	2.805089375	2.8050893749999996
2027-01-01	0.0000000	0.0000000	3.405451974	4.0686770527858184	2.750503685	1.9068787269355748	3.64116075	2.79953850	106.958923339844	46.860260	-0.943790353	-0.81246132841844608	2.79380375	2.7938037499999996
2028-01-01	0.0000000	0.0000000	3.626405109	3.7507975228241008	2.86130695	2.0167109782312552	3.7558256249999992	2.80801375	107.631683349609	47.064247	-1.15924307	-0.64169800014734712	2.782518125	2.7825181249999992
2029-01-01	0.0000000	0.0000000	3.820667912	3.4891158571153104	2.974422666	2.1127193249188928	3.8704904999999992	2.81648900	108.51545	47.581352	-1.286353314	-0.81019559878620704	2.7712325	2.7712324999999992
2030-01-01	0.0000000	0.0000000	3.773018741	3.4961178375986224	3.088842904	2.201149514674558	3.9851553749999992	2.82496425	109.7358	48.317287	-1.452615324	-0.99910040115403008	2.7599468749999996	2.7599468749999988
2031-01-01	0.0000000	0.0000000	3.712818104	3.4977950450861612	3.204644721	2.2822900452863868	4.09982025	2.83343950	111.33958	49.294510	-1.663518514	-1.2128852031057942	2.74866125	2.7486612499999988
2032-01-01	0.0000000	0.0000000	3.646708251	3.512312801208828	3.321896443	2.3564645319633228	4.2144851249999992	2.84191475	113.34957	50.495842	-1.902351805	-1.4247392858007866	2.737375625	2.7373756249999984
2033-01-01	0.0000000	0.0000000	3.612956388	3.562662380800008	3.4404847529999996	2.4237577777470088	4.32915	2.85039000	115.73204	51.860569	-2.143803223	-1.5980156867166818	2.72609	2.72609
2034-01-01	0.0000000	0.0000000	3.632936576	3.5631115768000044	3.541880183	2.4886298263802732	4.3126925000000008	2.90787050	118.43524	53.424408	-2.3778864139999996	-1.7638204888749292	2.6897855	2.6897855
2035-01-01	0.0000000	0.0000000	3.652894215	3.5635441983499884	3.628739411	2.5525490768930288	4.296235	2.96535100	NA	NA	-2.596979014	-1.9043658901172048	2.6534810000000004	2.6534810000000004
2036-01-01	0.0000000	0.0000000	3.672827252	3.563960656474996	3.702348266	2.6153036664749532	4.2797775	3.02283150	NA	NA	-2.799141124	-2.0710934887118676	2.6171764999999996	2.6171764999999996
2037-01-01	0.0000000	0.0000000	3.820170022	3.6486147787999856	3.764010044	2.6771024481441052	4.26332	3.08031200	NA	NA	-2.987883135	-2.2477110825475512	2.580872	2.5808720000000004
2038-01-01	0.0000000	0.0000000	3.87785287	3.7292892012499968	3.81502952	2.7380119857658756	4.2468625000000008	3.13779250	NA	NA	-3.1730469120000004	-2.3938860879079368	2.5445675	2.5445675000000004
2039-01-01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2040-01-01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2041-01-01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2042-01-01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2043-01-01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2044-01-01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2045-01-01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
